"IdNum","Title","Description","DescComment","SubjectTop","DonorNotes","WherMade","Color","Material","ItemCondition","ConditionNts","Fragility","Functional","Power","ToC","IsPart","IsVer","HasPart","HasVer","Creator","Publisher","Contributor","AddlAuth","Created","Copyrighted","DateCR","Available","Medium","Type","Format","ItemType","Dimensions","Extent","MediaType","Moves","Resolution","Software","StillImage","MovingImage","Weight","Identifier","ModelNum","SerialNum","PartNum","SeriesNum","OtherNum","ToDo","Location","LocNotes","Interim","Box","Loc","ToGo","AddCom","CatBy","EditBy","AltTitle","BibCit","SubKes","Description1","Source","Relation","ConformsTo","Coverage","RightsMGMT","Format1","BitDepth","Resolution1","NatlLang","ProgLang","PropDisp","DateScan","ProcInit","FormatBP","URI","ThumbNailURI","AbIint","IntInit","InstrMeth","Audience","AudLev","Mediator","ItemReferences","IsReferencedBy","Replaces","ReplacedBy","Requires","RequiredBy","AccessRights","RightsHolder","License","Provenance","Spacial","Temporal","AccrualComments","AccrualMethod","AccrualPeriodicity","AccPol","Collection","Wiki","Blog","TravelingExhibit","SocialMedia","SmallThumbURI","History6","History7","History8","History9"
"1637","SOI Abilities Workbook","Workbook about the Structure of Intellect Interpretation and Uses",,,NULL,,"2","papr","g",,"d",,,,NULL,NULL,NULL,NULL,"Mary Nacol Meeker","Loyola-Marymount University",," Katherine Mary Sexton CSJ, Mary Old Richardson","1970","y","1970",,"bk",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg",NULL,"bi","0-0",NULL,,,,,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"1","0",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"1",,,,,NULL,NULL,,"2300",NULL,NULL,NULL,NULL,NULL,,,,
"1638","Introduction to World Star","Introduction to the WorldStar Word processing program.",,,NULL,,"8","papr","f","Faded cover.","d",,,,NULL,NULL,NULL,NULL,"Arthur Naiman","Sybex Inc.",,NULL,"1982","y","1982",,"bk",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg",NULL,"bi","0-0",NULL,,,"IG",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"0","0",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",,,,,NULL,NULL,,"1550",NULL,NULL,NULL,NULL,NULL,,,,
"1004","MECC NETWORK","Newsletter of the Minnesota Educational Computing Consortium vol. 1, May, 1984",,,,,"28","papr","g","Fold. ocr done.","d",,,"Articles:
- Whatever happened to the  Apple 1? (Item 2701)
- MECC '84 conference planned
- Commodore has rhythm
- MECC development for Radio Shack Computers
- MECC product packaging has new, improved look
- Modeling on the IBM PC
- Apple Hi-res Graphics in your hands
- MECC student recors and daily attendance systems for Apple and IBM
- An idea for your elementary school: try a Friendly Computer contest!","0","0","2701","0","MECC","Minnesota Educational Computer Consortium","LO*OP Center, Inc.",NULL,"1984-05-00","n","1984-05-00","09/04/2015","pam","0",,"0","11 x 8.5 x 1.5 inche",,"0",,,"0","n","n","0",,,,,,,"4","lg",,"b6","0-0","0",,,"ll1",,"Newsletter of the Minnesota Educational Computing","0","0",,"0","0",,,,"0",,,"1","0","0","09/04/2015",,,"http://www.loopcntr.net/repository/1004.pdf","http://www.loopcntr.net/repository/1004.jpg",,"0",,"adult, educators",,,"0","0","0","0","0","0","0","0","1","LO-OP Center, Inc subscription",,,,"0","0",,"1400",,,,,"http://www.loopcntr.net/repository/thumbs/t1004.jpg",,,,
"1627","Reader Rabbit 1","CDRom disk for Windows and Macintosh - 4 games to help beginning readers.",,,NULL,,"29","mix","g",,"d",,,,NULL,NULL,NULL,NULL,,"The Learning Company",,NULL,NULL,"n","1994",,"na",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg",NULL,"iU","0-0",NULL,,,"ll1",,"Deluxe!",NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"1","2",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"1",,,,,NULL,NULL,,"1950",NULL,NULL,NULL,NULL,NULL,,,,
"1628","Computer Education: The Fourth ""R""","Report to the Assembly California Legislature Committee on Policy Research Management","Document focuses on problems with elementary and secondary  use of computers.",,NULL,,"28","papr","g",,"d",,,,NULL,NULL,NULL,NULL,"Sally A. Eibert","California Assembly Office of Research",,"John W. Stratton, Linda Yamashiro","1983","n",NULL,,"bnd",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"n","lg",NULL,"b10","0-0",NULL,,,"ll1",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"0","0",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",,,,,NULL,NULL,,"1950",NULL,NULL,NULL,NULL,NULL,,,,
"1629","Amiga World","Amiga Magazine, March 1990",,,NULL,,"6","papr","f","Cover ripped in two places with missing pieces and creasing.","f",,,,NULL,NULL,NULL,NULL,,"IDG Communications Publication",,NULL,"March 1990",NULL,NULL,,"mag",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"6","lg",NULL,"b10","0-0",NULL,,,"ll1",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,,"1200",NULL,NULL,NULL,NULL,NULL,,,,
"1630","MITS 1K STAT MEMORY BOARD REV 0 (1 of 2)","gray printed circuit board with chips and sticker ""Dement""",,,NULL,,"2","p","f","Needs antistatic bag","f",,,,NULL,NULL,NULL,NULL,"MITS",,,NULL,NULL,"n",NULL,,"h",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg",NULL,"cT","0-0",NULL,,,"ll",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"0","0",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",,,,,NULL,NULL,,"2900",NULL,NULL,NULL,NULL,NULL,,,,
"1631","MITS 1K STAT MEMORY BOARD REV 0 (2 of 2)","available",,,NULL,,"2","p","g",,"f",,,,NULL,NULL,NULL,NULL,,,,NULL,NULL,NULL,NULL,,"h",NULL,,"1",,,"0",,,"0","n","n",NULL,,,,,"REV 0","1956k","1","lg",NULL,"cT","0-0",NULL,,,,,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,"0",NULL,NULL,NULL,,,,,NULL,NULL,,"2900",NULL,NULL,NULL,NULL,NULL,,,,
"1632","Influences on Development and Innovation in Educational Technology","illustrates trends and factors influencing innovation in educational technology development including history of successful and unsuccessful government and private projects, factors that will influence developement during the next five years, and a set of policy options for strategic [US] federal support",,,NULL,,,NULL,NULL,,NULL,,,,NULL,NULL,NULL,NULL,"Brown, Dean","Picodyne Corporation",,"Kahn, Ted M.; Zauderer, Marvin M.","Dec. 14, 1987","n","1987","Y",NULL,NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,NULL,NULL,NULL,NULL,NULL,NULL,,,"LL",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"1","0",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",,,,,NULL,NULL,,NULL,NULL,NULL,NULL,NULL,NULL,,,,
"1633","The Code: Silicon Valley and the Remaking of America","Mentions Liza Loop and LO*OP Center",,,NULL,,"8","papr","e",,"d",,,,NULL,NULL,NULL,NULL,"Margaret O'mara","Penguin Random House",,NULL,"2019","y","2019",,"bk",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg",NULL,"bi","0-0",NULL,,,"IG",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"1","0",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0","Gift from author to Liza Loop",,,,NULL,NULL,,"2200",NULL,NULL,NULL,NULL,NULL,,,,
"1634","The Innovators: How a Group of Hackers, Geniuses, and Geeks Created the Digital Revolution","Book about people who created the computer and the internet",,,NULL,,"32","papr","e",,"d",,,,NULL,NULL,NULL,NULL,"Walter Isaacson","Simon & Schuster",,NULL,"2014","y","2014",,"bk",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"1","lg",NULL,"bi","0-0",NULL,,,"IG",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"1","0",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",,,,,NULL,NULL,,"2200",NULL,NULL,NULL,NULL,NULL,,,,
"1635","The Human Use of Human Beings: Cybernetics and Society","Exploration of the philosophical implications of machines",,,NULL,,"2","papr","g","Worn paperback, binding starting to tear, edges of cover wearing","d",,,,NULL,NULL,NULL,NULL,"Norbert Wiener","Doubleday Anchor Books",,NULL,"1950","y","1954",,"bk",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"4","lg",NULL,"bi","0-0",NULL,,,"IG",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"1","0",NULL,NULL,,NULL,"https://archive.org/details/wiener-norbert-the-human-use-of-human-beings/mode/2up","http://www.loopcntr.net/repository/1635.jpg",,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",,,,,NULL,NULL,,"2200",NULL,NULL,NULL,NULL,NULL,,,,
"1636","God and Golem, Inc.: A Comment on Certain Points where Cybernetics Impinges on Religion","Examines the intersection of cybernetics and religion",,,NULL,,"16","papr","na","Worn cover, sticky notes sticking out on the side of the book.","d",,,,NULL,NULL,NULL,NULL,"Norbert Wiener","MIT Press",,NULL,"1964","y","1964",,"bk",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"4","lg",NULL,"b10","0-0",NULL,,,"IG",,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"1","0",NULL,NULL,,NULL,"https://archive.org/details/godgoleminccomme0000wien_g4t6/mode/2up?q=God+and+Golem%2C+Inc.+A+Comment+on+Certain+Points+where+Cybernetics+Impinges+Religion","http://www.loopcntr.net/repository/1636.jpg",,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",,,,,NULL,NULL,,"2200",NULL,NULL,NULL,NULL,NULL,,,,
"1005","An idea for your elementary school: try a Friendly Computer contest!","Article in some newsletter or other!!",,,,,"none","na","na",,"na",,,,"1004","0","0","0",,,"LO*OP Center, Inc.",NULL,"0000-00-00","0","0000-00-00",,"na","0","Jpeg","0","252x 151 pixels",,"0",,"72 dpi",,,,"0",,,,,,,"5","lg",NULL,"na","0-0","0",,,"ll1","ll1",,"0","0",,"0","0",,,,"0","24",,"0","0",NULL,"0000-00-00",,,,NULL,,"0",,,,,"0","0","0","0","0","0","0","0","0",,,,,"0","0",,"1004",,,,,,,,,
"1006","Bytcom Modem","Has two 1/2 inch pads glued to the back",,,,"Japan","0","mix","0","Dirt on upper surface, tape residue on right side minor scratches on labels on bottom","0","D",,,"0","0","0","0","Toyocom",,"LO*OP Center, Inc.",NULL,"0000-00-00","n","0000-00-00",,"0","0","Jpeg","0","828x 920 pixels",,"0",,"200 dpi",,"n","n","0",,,,,,,"5","c",NULL,"0","0-0","0",,,"ll1",,,"0","0",,"0","0",,,,"0","24",,"0","0",NULL,"0000-00-00",,,,NULL,,"0",,,,,"0","0","0","0","0","0","0","0","0",,,,,"0","0",,"2900",,,,,,,,,
"1007","Tic Tac Show Game","Educational computer game, manual and diskette",,,,"Berkeley, CA","28","mix","g",,"d",,,,"1350","0","0","0",,"Computer-Advanced Ideas Inc. Berkeley, CA","LO*OP Center, Inc.",NULL,"1982","n","0000-00-00",,"m-s","0","Jpeg","0","1210x 1581 pixels",,"0",,"150 dpi","0","n","n","0",,,,,,,"4","lg",NULL,"b6","0-0","0",,,"ll1",,,"0","0",,"0","0",,,,"0","24",,"0","0","0","2016",,,"http://www.loopcntr.net/repository/1007.pdf","http://www.loopcntr.net/repository/1007.jpg",,"0",,,,,"0","0","0","0","0","0","0","0","0",,,,,"0","0",,"1350",,"https://hclemuseum.wordpress.com/2018/04/03/did-you-know-tic-tac-show/",,,"http://www.loopcntr.net/repository/thumbs/t1007.jpg",,,,
"1008","Computer Advanced Ideas Product Catalog","Product Flyer",,,"The only online reference I could find for ""TIC TAC Show"" was a ""computer file"" in the Audio-Visual section of the Cleveland Public Library website.  Th",,"17","papr","vg",,"d",,,"Playing the Game; Building a Subject Area; Changing Old Subject Areas; Other Functions; Appendices","2650","1007","0","0",,"Computer-Advanced Ideas Inc. Berkeley, CA","LO*OP Center, Inc.",NULL,"circa 1982","n","0000-00-00",,"f","0",,"0",,,"0",,,"0","n","n","0",,,,,,,"4","lg",NULL,"b6","0-0","0",,,"ll1",,,"0","0",,"0","0",,,,"0",,,"0","0","0","2016",,,"http://www.loopcntr.net/repository/1008.pdf","http://www.loopcntr.net/repository/1008.jpeg",,"0",,,,,"0","0","0","0","0","0","0","0","0",,,,,"0","0",,"2650",,,,,"http://www.loopcntr.net/repository/thumbs/t1008.jpg",,,,
"1009","Tic Tac Show","Diskette",,,,,"16","digi","na",,"f",,,,"1007","0","0","0",,,"LO*OP Center, Inc.",NULL,,"n","0000-00-00",,"cd","0",,"0",,,"0",,,"0","n","n","0",,,,,,,"7","lg","diskette in bag with 1007","b6","0-0","0",,,"ll1",,,"0","0",,"0","0",,,,"0",,,"0","0","0","0000-00-00",,,,,,"0",,,,,"0","0","0","0","0","0","0","0","0",,,,,"0","0",,"0",,"https://hclemuseum.wordpress.com/2018/04/03/did-you-know-tic-tac-show/",,,,,,,
"1010","Computer-Assisted Instruction: Status in Pennsylvania","characteristics of computer-assisted instruction (CAI) make it suitable for individualizing instruction",,,,,"none","na","na",,"na",,,,"0","0","0","0",,"Pennsylvania State University","LO*OP Center, Inc.",NULL,"July 1970","n","0000-00-00",,"0","0",,"0",,,"0",,,"0","n","n","0",,,,,,,"4","iu","ERIC ED049610:","na","0-0","0",,,"ll1",,,"0","0",,"0","0",,,,"0",,,"0","0","0","0000-00-00",,,"https://archive.org/details/ERIC_ED049610/page/n3/mode/2up","http://www.loopcntr.net/repository/1010.jpeg",,"0",,,,,"0","0","0","0","0","0","0","0","0",,,,,"0","0",,"0",,,,,"http://www.loopcntr.net/repository/thumbs/t1010.jpg",,,,
"1613","Tutorfilm","Catalog features one course each on computer math, binary logic, and programming",,,NULL,,"8","papr","vg",,"d",,,,NULL,NULL,NULL,NULL,,"Sargent-Welch",,NULL,"1971",NULL,NULL,,"bnd",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"n","lg",NULL,"b10","0-0",NULL,,,,,"Library of Self-Pacing programed courses",NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,,"2650",NULL,NULL,NULL,NULL,NULL,,,,
"1614","Data General New Products Catalog and Maunal","group of promotional materials including Disk Operating System Reference Manual",,,NULL,,"8","papr","g",,"d",,,,NULL,NULL,NULL,NULL,,,,NULL,"1976",NULL,NULL,,"bnd",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"n","lg",NULL,"bi","0-0",NULL,,,,,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,NULL,NULL,NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,,,,,NULL,NULL,,"1450",NULL,NULL,NULL,NULL,NULL,,,,
"1615","Teach Youself Visual Basic","493 page softcover book for Absolute Beginners",,,NULL,,"29","papr","e",,"d",,,,NULL,NULL,NULL,NULL,"Bob Albrecht","Osborne McGraw Hill",,"Karl Albrecht","1996","y","1996",,"bk",NULL,,"0",,,NULL,,,,NULL,NULL,NULL,,,,,,,"n","lg",NULL,"bi","0-0",NULL,,,,,,NULL,NULL,,NULL,NULL,NULL,,,NULL,NULL,,"1","1",NULL,NULL,,NULL,,NULL,,NULL,,,,,NULL,NULL,NULL,NULL,NULL,NULL,"0",NULL,"0",,,,,NULL,NULL,,"0",NULL,NULL,NULL,NULL,NULL,,,,
